,Company,Sector,Consecutive Years of Dividend Growth
0,3M (NYSE:MMM),Industrials,56
1,Aflac (NYSE:AFL),Financials,36
2,AT&T (NYSE:T),Communications services,34
3,AbbVie (NYSE:ABBV),Healthcare,46
4,Abbott Laboratories (NYSE:ABT),Healthcare,46
5,Air Products & Chemicals (NYSE:APD),Materials,36
6,A.O. Smith (NYSE:AOS),Industrials,26
7,Archer Daniels Midland (NYSE:ADM),Consumer staples,44
8,Automatic Data Processing (NASDAQ:ADP),Information technology,44
9,"Becton, Dickinson & Co. (NYSE:BDX)",Healthcare,47
10,Brown-Forman (B Shares) (NYSE:BF.B),Consumer staples,34
11,Cardinal Health (NYSE:CAH),Healthcare,31
12,Caterpillar (NYSE:CAT),Industrials,25
13,Chevron (NYSE:CVX),Energy,31
14,Chubb (NYSE:CB),Financials,25
15,Cincinnati Financial (NASDAQ:CINF),Financials,59
16,Cintas (NASDAQ:CTAS),Industrials,34
17,Clorox (NYSE:CLX),Consumer staples,42
18,Coca-Cola (NYSE:KO),Consumer staples,56
19,Colgate-Palmolive (NYSE:CL),Consumer staples,56
20,Consolidated Edison (NYSE:ED),Utilities,44
21,Dover (NYSE:DOV),Industrials,56
22,Ecolab (NYSE:ECL),Materials,33
23,Emerson Electric (NYSE:EMR),Industrials,56
24,ExxonMobil (NYSE:XOM),Energy,36
25,Federal Realty Investment Trust (NYSE:FRT),Real estate,46
26,Franklin Resources (NYSE:BEN),Financials,37
27,General Dynamics (NYSE:GD),Industrials,27
28,Genuine Parts (NYSE:GPC),Consumer discretionary,56
29,Hormel Foods (NYSE:HRL),Consumer staples,50
30,Illinois Tool Works (NYSE:ITW),Industrials,47
31,Johnson & Johnson (NYSE:JNJ),Healthcare,56
32,Kimberly Clark (NYSE:KMB),Consumer staples,46
33,Leggett & Platt (NYSE:LEG),Consumer discretionary,47
34,Linde (NYSE:LIN),Materials,26
35,Lowe's (NYSE:LOW),Consumer discretionary,44
36,McCormick & Co. (NYSE:MKC),Consumer staples,33
37,McDonald's (NYSE:MCD),Consumer discretionary,42
38,Medtronic (NYSE:MDT),Healthcare,41
39,Nucor (NYSE:NUE),Materials,45
40,PPG Industries (NYSE:PPG),Materials,47
41,Pentair (NYSE:PNR),Industrials,42
42,People's United Financial (NASDAQ:PBCT),Financials,25
43,PepsiCo (NASDAQ:PEP),Consumer staples,46
44,Procter & Gamble (NYSE:PG),Consumer staples,56
45,Roper Technologies (NYSE:ROP),Industrials,26
46,S&P Global (NYSE:SPGI),Financials,45
47,Sherwin-Williams (NYSE:SHW),Materials,39
48,Stanley Black & Decker (NYSE:SWK),Industrials,51
49,Sysco (NYSE:SYY),Consumer staples,38
50,T. Rowe Price Group (NASDAQ:TROW),Financials,32
51,Target (NYSE:TGT),Consumer discretionary,47
52,United Technologies (NYSE:RTX),Industrials,25
53,VF Corp. (NYSE:VFC),Consumer discretionary,46
54,Walgreens Boots Alliance (NASDAQ:WBA),Consumer staples,43
55,Walmart (NYSE:WMT),Consumer staples,42
56,W.W. Grainger (NYSE:GWW),Industrials,47
